Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0034422,-0.00059358,0.080023,0,0,0,0.46179,0.0010394,5.8492E-06,-4.2179E-06,0.0014555,5.857E-06,0.0018135,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/base_link.STL,,P01_Chassis-1;P03_Bogie_Bearing-1;A08_Top_Assembly-1/P11_Top-1;A08_Top_Assembly-1/P21_Mast-1;A08_Top_Assembly-1/P12_Solar_Panel-1;A08_Top_Assembly-1/P12_Solar_Panel-2;P03_Bogie_Bearing-2;P03_Bogie_Bearing-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MRB_link,-4.7549E-06,0.0051724,-0.053204,0,0,0,0.10838,4.8736E-05,1.487E-09,1.5114E-08,0.00029223,-2.6526E-07,0.0002574,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/MRB_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/MRB_link.STL,,A05_Bogie-1/P17_Bogie_Cable_Cover-1;A05_Bogie-1/P19_Bogie-2;A05_Bogie-1/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-1/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_MRB_joint,Axis_MRB_joint,MRB_joint,revolute,-0.082,0,0.017,1.5708,0,1.5708,base_link,0,0,-1,0,0,1,1,,,,,,,,
STR_LR_link,-0.012457,0.00022549,-0.033761,0,0,0,0.071174,3.3688E-05,-8.9803E-09,-4.7385E-06,4.106E-05,-1.4036E-07,1.5915E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LR_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LR_joint,Axis_STR_LR_joint,STR_LR_joint,revolute,0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
DRV_LR_link,0.031467,0.072872,0.10378,0,0,0,0.056973,8.0499E-05,-6.3012E-08,1.2131E-11,5.2111E-05,1.4281E-11,5.2306E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LR_link.STL,0.96863,0.87843,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LR_joint,Axis_DRV_LR_joint,DRV_LR_joint,continuous,-0.021614,-0.10378,0.015418,-1.5708,0,0,STR_LR_link,0,0,1,,,,,,,,,,,,
STR_RR_link,-0.0124555119207004,-0.000225533347028822,-0.0337608863888986,0,0,0,0.071173105016733,3.36872651590183E-05,8.07921081357608E-09,-4.74135535852484E-06,4.10633342810781E-05,1.40511475060575E-07,1.59192004795905E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RR_joint,Axis_STR_RR_joint,STR_RR_joint,revolute,-0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,0,0,,,,,,,,
DRV_RR_link,0.0314671815371365,0.0728723179165185,-0.103780043928043,0,0,0,0.0569725827075564,8.04986816304343E-05,-6.3011767107178E-08,1.21312261112933E-11,5.21106389985384E-05,1.42808035674551E-11,5.23057476713962E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RR_joint,Axis_DRV_RR_joint,DRV_RR_joint,continuous,-0.021614,0.10378,0.015418,-1.5708,0,0,STR_RR_link,0,0,1,,,,,,,,,,,,
RFB_link,-0.0263258310482531,0.00628258066571832,1.60029852358315E-05,0,0,0,0.0924731809037187,0.000113483415744406,-4.18265340510287E-07,1.98435780729848E-09,0.000122753676437502,4.34830525832149E-09,2.29318171883021E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/RFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/RFB_link.STL,,A05_Bogie-3/P19_Bogie-2;A05_Bogie-3/P17_Bogie_Cable_Cover-1;A05_Bogie-3/Parallax-Servo-ASM-3/Parallax-Servo-1;A05_Bogie-3/Parallax-Servo-ASM-2/Parallax-Servo-1,Origin_RFB_joint,Axis_RFB_joint,RFB_joint,revolute,0.055,-0.062,0.017,1.5549,0,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
STR_RF_link,-0.0344555107840984,-0.0491790839210982,0.0802255353642999,0,0,0,0.0711731123513564,3.36872678189227E-05,-4.74135711620255E-06,-8.08388204163537E-09,1.59192030092836E-05,-1.40514255182746E-07,4.10633381534301E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RF_joint,Axis_STR_RF_joint,STR_RF_joint,revolute,-0.019775,0,0,0,0,0,RFB_link,0,0,1,0,0,0,0,,,,,,,,
DRV_RF_link,-0.016532818451544,-0.0728723179165183,0.0800000439280448,0,0,0,0.0569725827075563,8.04986816304343E-05,6.30117671071577E-08,-1.21312260936329E-11,5.21106389985383E-05,1.4280803527455E-11,5.23057476713964E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/DRV_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RF_joint,Axis_DRV_RF_joint,DRV_RF_joint,continuous,0.0043862,0,0,0,0,0,STR_RF_link,0,0,-1,,,,,,,,,,,,
STR_RM_link,-0.0344570290035743,-0.0491787008492301,-0.0802254845265562,0,0,0,0.0711741620458433,3.36879468050997E-05,-4.7385070237828E-06,8.97622796968714E-09,1.59152316780872E-05,1.40352149406493E-07,4.10598352109841E-05,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://ExoMy_Model_Full/meshes/STR_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RM_joint,Axis_STR_RM_joint,STR_RM_joint,continuous,-0.019775,0,0,0,0,0,RFB_link,0,0,1,,,,,,,,,,,,
