Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0034422,-0.00059358,0.080023,0,0,0,0.46179,0.0010394,5.8492E-06,-4.2179E-06,0.0014555,5.857E-06,0.0018135,0,0,0,0,0,0,package://exomy_description/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://exomy_description/meshes/base_link.STL,,P01_Chassis-1;P03_Bogie_Bearing-1;A08_Top_Assembly-1/P11_Top-1;A08_Top_Assembly-1/P21_Mast-1;A08_Top_Assembly-1/P12_Solar_Panel-1;A08_Top_Assembly-1/P12_Solar_Panel-2;P03_Bogie_Bearing-2;P03_Bogie_Bearing-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MRB_link,-4.75494816077268E-06,0.00517244564419529,-0.053203691874464,0,0,0,0.108378302988404,4.87361081203044E-05,1.48702296200827E-09,1.51142077198508E-08,0.000292228221201162,-2.65262441630942E-07,0.000257396094560756,0,0,0,0,0,0,package://exomy_description/meshes/MRB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://exomy_description/meshes/MRB_link.STL,,A05_Bogie-1/P17_Bogie_Cable_Cover-1;A05_Bogie-1/P19_Bogie-2;A05_Bogie-1/Parallax-Servo-ASM-2/Parallax-Servo-1;A05_Bogie-1/Parallax-Servo-ASM-3/Parallax-Servo-1,Origin_MRB_joint,Axis_MRB_joint,MRB_joint,continuous,-0.082,0,0.017,1.5708,0,1.5708,base_link,0,0,-1,0,0,-1,1,,,,,,,,
STR_LR_link,-0.0124570291004618,0.000225486285520854,-0.0337605009553561,0,0,0,0.0711741624806848,3.36879478479992E-05,-8.98028473550272E-09,-4.73850731914457E-06,4.10598360484869E-05,-1.40355471129835E-07,1.59152321238695E-05,0,0,0,0,0,0,package://exomy_description/meshes/STR_LR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_description/meshes/STR_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_LR_joint,Axis_STR_LR_joint,STR_LR_joint,continuous,0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
DRV_LR_link,-4.38837843702578E-08,0.000210617627838187,-0.00746718154845782,0,0,0,0.0569725827075565,5.23057476713962E-05,1.42808035335289E-11,-1.2131226060172E-11,5.21106389985384E-05,6.30117671071217E-08,8.04986816304342E-05,0,0,0,0,0,0,package://exomy_description/meshes/DRV_LR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://exomy_description/meshes/DRV_LR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-1/P30_Wheel-1,Origin_DRV_LR_joint,Axis_DRV_LR_joint,DRV_LR_joint,continuous,0.0023862,0,-0.057244,-1.5708,0,1.5708,STR_LR_link,0,0,1,,,,,,,,,,,,
STR_RR_link,-0.0124555119207004,-0.000225533347028836,-0.0337608863888986,0,0,0,0.0711731050167329,3.36872651590183E-05,8.0792108135765E-09,-4.74135535852485E-06,4.10633342810781E-05,1.40511475060575E-07,1.59192004795906E-05,0,0,0,0,0,0,package://exomy_description/meshes/STR_RR_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_description/meshes/STR_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-1/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-1/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RR_joint,Axis_STR_RR_joint,STR_RR_joint,continuous,-0.10378,-0.015418,-0.080775,1.5708,-1.5708,0,MRB_link,0,0,-1,0,0,0,0,,,,,,,,
DRV_RR_link,-4.38837843980133E-08,0.000210617627838181,-0.00746718154845791,0,0,0,0.0569725827075564,5.23057476713961E-05,1.42808035678614E-11,-1.21312261130931E-11,5.21106389985384E-05,6.30117671071779E-08,8.04986816304342E-05,0,0,0,0,0,0,package://exomy_description/meshes/DRV_RR_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://exomy_description/meshes/DRV_RR_link.STL,,A05_Bogie-1/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RR_joint,Axis_DRV_RR_joint,DRV_RR_joint,continuous,0.0023862,0,-0.057244,-1.5708,0,1.5708,STR_RR_link,0,0,1,,,,,,,,,,,,
RFB_link,-8.38457132264214E-05,-0.00628204153226714,-0.0263258310482545,0,0,0,0.0924731809037187,2.29568915420578E-05,1.58188457098278E-06,8.63143998755474E-09,0.000122728602083747,4.18180978754209E-07,0.000113483415744406,0,0,0,0,0,0,package://exomy_description/meshes/RFB_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://exomy_description/meshes/RFB_link.STL,,A05_Bogie-3/P19_Bogie-2;A05_Bogie-3/P17_Bogie_Cable_Cover-1;A05_Bogie-3/Parallax-Servo-ASM-3/Parallax-Servo-1;A05_Bogie-3/Parallax-Servo-ASM-2/Parallax-Servo-1,Origin_RFB_joint,Axis_RFB_joint,RFB_joint,continuous,0.055,-0.062,0.017,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
STR_RF_link,0.000225535399357379,-0.0124555107840924,-0.0337608839210725,0,0,0,0.0711731123513564,4.10633381534302E-05,-8.08388203962869E-09,-1.40514255173095E-07,3.36872678189233E-05,-4.74135711620157E-06,1.5919203009283E-05,0,0,0,0,0,0,package://exomy_description/meshes/STR_RF_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_description/meshes/STR_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-2/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-2/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RF_joint,Axis_STR_RF_joint,STR_RF_joint,continuous,0.080235,0.014145,-0.041775,1.5708,0,-0.015893,RFB_link,0,0,1,0,0,0,0,,,,,,,,
DRV_RF_link,3.39114450861877E-06,0.000210590330311941,0.00746718154845911,0,0,0,0.0569725827075563,5.23056979378795E-05,-3.11467028707282E-09,-1.0135518673735E-09,5.21106887320552E-05,-6.30036161957908E-08,8.04986816304344E-05,0,0,0,0,0,0,package://exomy_description/meshes/DRV_RF_link.STL,0.968627450980392,0.87843137254902,0.6,1,0,0,0,0,0,0,package://exomy_description/meshes/DRV_RF_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-2/P30_Wheel-1,Origin_DRV_RF_joint,Axis_DRV_RF_joint,DRV_RF_joint,continuous,0,0.0023862,-0.057244,-1.5708,0.015893,0,STR_RF_link,0,0,-1,,,,,,,,,,,,
STR_RM_link,-0.000225484526532056,-0.0124570290148926,-0.0337605008492651,0,0,0,0.0711741620458433,4.1059835210984E-05,8.97622797173424E-09,1.40352149416179E-07,3.36879468051002E-05,-4.73850702378181E-06,1.59152316780868E-05,0,0,0,0,0,0,package://exomy_description/meshes/STR_RM_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://exomy_description/meshes/STR_RM_link.STL,,A05_Bogie-3/A04_Wheel_Assembly-1/P29_Wheel_Bracket_Fixing_Plate-1;A05_Bogie-3/A04_Wheel_Assembly-1/P28_Wheel_Bracket_Split-1;A05_Bogie-3/A04_Wheel_Assembly-1/Parallax-Servo-ASM-1/Parallax-Servo-1,Origin_STR_RM_joint,Axis_STR_RM_joint,STR_RM_joint,continuous,-0.079745,0.016688,-0.041775,1.5708,0,-0.015893,RFB_link,0,0,1,,,,,,,,,,,,
